;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1,01E-09;1,03E-08;9,98E-10;-1,56E-10;-1,71E-10;-9,23E-11;-1,20E-10;-5,30E-11;-1,16E-10;-2,80E-10;-2,78E-10;4,24E-08;2,77E-09;2,08E-07;5,39E-09;6,23E-08;6,11E-09;2,05E-08;1,91E-09;8,19E-09;1,07E-09;3,85E-09;3,39E-10;-5,73E-11;-6,47E-11;6,68E-11;6,93E-09;2,76E-06;1,96E-08;2,68E-09;7,48E-10;1,29E-08;1,41E-09;3,78E-10;9,44E-11;3,71E-10;-7,00E-11;-2,86E-11;7,41E-10;1,49E-07;5,00E-09;2,97E-10;3,77E-09;7,02E-07;8,50E-09;2,61E-09;2,78E-10;-6,04E-11;-1,38E-11;-3,08E-11;-4,77E-11;7,10E-11;-1,30E-10;-1,52E-10;-1,38E-10;-2,69E-10;-1,92E-10;-2,21E-10;-1,59E-11;-1,66E-10;-2,55E-10;-4,67E-11;-3,09E-10;-1,23E-10;-1,50E-10;;;;;-2,63E-09;-2,32E-08;-1,70E-09;-4,44E-10;-5,29E-10;-1,63E-10;-1,24E-10;-7,74E-11;-3,83E-10;-3,91E-10;-2,09E-10;4,19E-08;2,63E-09;2,08E-07;5,10E-09;5,69E-08;-3,34E-08;-1,36E-07;-2,95E-09;7,58E-09;7,33E-10;3,84E-09;1,76E-10;-6,90E-11;-1,18E-10;1,09E-10;6,84E-09;2,76E-06;1,91E-08;2,31E-09;6,06E-10;6,04E-09;4,49E-10;1,57E-10;-1,46E-11;2,48E-10;-3,56E-10;-2,12E-10;6,97E-10;1,49E-07;4,92E-09;1,75E-10;3,63E-09;6,96E-07;7,71E-09;2,61E-09;1,90E-10;1,91E-11;5,30E-11;-5,94E-11;-1,93E-10;-9,50E-11;-2,58E-10;-1,00E-10;-2,10E-10;-2,85E-10;-2,47E-10;-4,89E-10;-7,42E-11;-1,59E-10;-3,90E-10;-7,11E-11;-4,42E-10;-2,52E-10;-3,23E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1,11E-09;9,95E-09;1,11E-09;-1,25E-10;-2,07E-10;-2,16E-10;-1,97E-10;-3,71E-10;-2,45E-10;-1,92E-10;-2,81E-10;4,14E-08;2,51E-09;2,08E-07;5,41E-09;6,24E-08;5,75E-09;2,02E-08;1,91E-09;8,19E-09;6,91E-10;3,54E-09;2,29E-10;-2,47E-10;-2,33E-10;-1,36E-10;7,10E-09;2,78E-06;1,99E-08;2,21E-09;3,61E-10;1,49E-08;1,42E-09;1,80E-11;-1,69E-10;1,02E-10;-1,91E-10;-3,08E-10;2,90E-10;1,47E-07;4,69E-09;1,31E-10;3,69E-09;6,97E-07;7,72E-09;2,37E-09;7,00E-10;-8,48E-11;-1,29E-10;-2,07E-10;-1,89E-10;-2,86E-10;-3,92E-10;-3,92E-10;-3,49E-10;-2,40E-10;-3,58E-10;-3,59E-10;-4,03E-10;-5,10E-10;-4,32E-10;-3,55E-10;-3,16E-10;-3,50E-10;-3,16E-10;;;;;-2,53E-09;-2,36E-08;-1,59E-09;-4,13E-10;-5,65E-10;-2,87E-10;-2,01E-10;-3,95E-10;-5,12E-10;-3,03E-10;-2,12E-10;4,09E-08;2,37E-09;2,08E-07;5,12E-09;5,70E-08;-3,38E-08;-1,36E-07;-2,95E-09;7,58E-09;3,54E-10;3,53E-09;6,60E-11;-2,59E-10;-2,86E-10;-9,36E-11;7,01E-09;2,78E-06;1,94E-08;1,84E-09;2,19E-10;8,04E-09;4,59E-10;-2,03E-10;-2,78E-10;-2,10E-11;-4,77E-10;-4,91E-10;2,46E-10;1,47E-07;4,61E-09;9,00E-12;3,55E-09;6,91E-07;6,93E-09;2,37E-09;6,12E-10;-5,30E-12;-6,22E-11;-2,36E-10;-3,34E-10;-4,52E-10;-5,20E-10;-3,40E-10;-4,21E-10;-2,56E-10;-4,13E-10;-6,27E-10;-4,61E-10;-5,03E-10;-5,67E-10;-3,79E-10;-4,49E-10;-4,79E-10;-4,89E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;9,66E-10;9,96E-09;8,55E-10;-2,68E-10;-6,68E-11;-2,23E-10;-9,23E-11;-1,09E-10;-2,13E-10;-2,56E-10;-3,41E-10;4,16E-08;2,48E-09;2,06E-07;5,37E-09;6,23E-08;5,82E-09;2,05E-08;1,98E-09;8,10E-09;9,15E-10;3,74E-09;1,78E-10;1,17E-11;-2,24E-10;3,50E-11;7,07E-09;2,80E-06;1,96E-08;2,68E-09;5,73E-10;1,78E-08;1,90E-09;9,33E-11;-2,77E-10;2,77E-10;-5,94E-11;-1,12E-10;4,29E-10;1,47E-07;4,90E-09;1,58E-10;4,01E-09;6,97E-07;8,18E-09;2,78E-09;3,93E-10;5,41E-11;-7,95E-11;-6,15E-11;-1,68E-10;-9,01E-11;-1,41E-10;-4,45E-11;-4,45E-11;-1,93E-10;-8,48E-12;-6,26E-11;-2,13E-10;-3,11E-10;-2,50E-10;-1,74E-10;-2,23E-11;-1,71E-10;-2,31E-10;;;;;9,66E-10;9,96E-09;8,55E-10;-2,68E-10;-6,68E-11;-2,23E-10;-9,23E-11;-1,09E-10;-2,13E-10;-2,56E-10;-3,41E-10;4,16E-08;2,48E-09;2,06E-07;5,37E-09;6,23E-08;5,82E-09;2,05E-08;1,98E-09;8,10E-09;9,15E-10;3,74E-09;1,78E-10;1,17E-11;-2,24E-10;3,50E-11;7,07E-09;2,80E-06;1,96E-08;2,68E-09;5,73E-10;1,78E-08;1,90E-09;9,33E-11;-2,77E-10;2,77E-10;-5,94E-11;-1,12E-10;4,29E-10;1,47E-07;4,90E-09;1,58E-10;4,01E-09;6,97E-07;8,18E-09;2,78E-09;3,93E-10;5,41E-11;-7,95E-11;-6,15E-11;-1,68E-10;-9,01E-11;-1,41E-10;-4,45E-11;-4,45E-11;-1,93E-10;-8,48E-12;-6,26E-11;-2,13E-10;-3,11E-10;-2,50E-10;-1,74E-10;-2,23E-11;-1,71E-10;-2,31E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1,32E-09;1,01E-08;9,86E-10;2,12E-12;-1,48E-10;1,91E-11;-2,90E-10;-1,96E-10;-2,66E-10;-1,83E-10;-5,62E-11;4,12E-08;2,58E-09;2,08E-07;5,94E-09;6,20E-08;6,03E-09;1,98E-08;2,09E-09;8,49E-09;9,66E-10;3,76E-09;4,36E-10;-2,76E-11;-7,42E-11;-5,30E-11;7,09E-09;2,76E-06;1,97E-08;2,63E-09;6,19E-10;1,83E-08;1,79E-09;2,23E-10;-9,86E-11;3,50E-10;-7,00E-11;-2,76E-11;6,16E-10;1,48E-07;4,83E-09;2,77E-10;3,92E-09;6,87E-07;8,27E-09;2,72E-09;4,56E-10;6,15E-11;-8,91E-11;-1,29E-10;5,73E-11;-2,03E-10;-4,77E-11;-2,80E-10;-1,60E-10;-2,57E-10;-6,36E-12;-1,50E-10;-1,93E-10;-1,37E-10;-2,66E-10;-1,10E-10;-2,27E-10;-9,44E-11;-1,33E-10;;;;;1,32E-09;1,01E-08;9,86E-10;2,12E-12;-1,48E-10;1,91E-11;-2,90E-10;-1,96E-10;-2,66E-10;-1,83E-10;-5,62E-11;4,12E-08;2,58E-09;2,08E-07;5,94E-09;6,20E-08;6,03E-09;1,98E-08;2,09E-09;8,49E-09;9,66E-10;3,76E-09;4,36E-10;-2,76E-11;-7,42E-11;-5,30E-11;7,09E-09;2,76E-06;1,97E-08;2,63E-09;6,19E-10;1,83E-08;1,79E-09;2,23E-10;-9,86E-11;3,50E-10;-7,00E-11;-2,76E-11;6,16E-10;1,48E-07;4,83E-09;2,77E-10;3,92E-09;6,87E-07;8,27E-09;2,72E-09;4,56E-10;6,15E-11;-8,91E-11;-1,29E-10;5,73E-11;-2,03E-10;-4,77E-11;-2,80E-10;-1,60E-10;-2,57E-10;-6,36E-12;-1,50E-10;-1,93E-10;-1,37E-10;-2,66E-10;-1,10E-10;-2,27E-10;-9,44E-11;-1,33E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;8,54E-10;9,65E-09;6,19E-10;-3,02E-10;-4,26E-10;-4,20E-10;-5,98E-10;-4,58E-10;-5,81E-10;-4,52E-10;-6,11E-10;4,12E-08;2,18E-09;2,07E-07;5,12E-09;6,17E-08;5,25E-09;1,99E-08;1,16E-09;7,98E-09;5,96E-10;3,14E-09;-7,53E-11;-4,57E-10;-5,13E-10;-4,58E-10;6,34E-09;2,76E-06;1,90E-08;2,34E-09;-8,48E-12;1,79E-08;1,39E-09;-3,45E-10;-3,11E-10;-1,39E-10;-3,86E-10;-3,32E-10;2,76E-10;1,47E-07;4,51E-09;2,23E-11;3,41E-09;6,93E-07;7,68E-09;2,36E-09;3,00E-10;-2,94E-10;-3,85E-10;-6,84E-10;-3,34E-10;-6,27E-10;-6,11E-10;-5,26E-10;-5,34E-10;-5,51E-10;-6,03E-10;-4,87E-10;-5,95E-10;-5,04E-10;-5,59E-10;-5,87E-10;-5,67E-10;-6,42E-10;-4,06E-10;;;;;8,54E-10;9,65E-09;6,19E-10;-3,02E-10;-4,26E-10;-4,20E-10;-5,98E-10;-4,58E-10;-5,81E-10;-4,52E-10;-6,11E-10;4,12E-08;2,18E-09;2,07E-07;5,12E-09;6,17E-08;5,25E-09;1,99E-08;1,16E-09;7,98E-09;5,96E-10;3,14E-09;-7,53E-11;-4,57E-10;-5,13E-10;-4,58E-10;6,34E-09;2,76E-06;1,90E-08;2,34E-09;-8,48E-12;1,79E-08;1,39E-09;-3,45E-10;-3,11E-10;-1,39E-10;-3,86E-10;-3,32E-10;2,76E-10;1,47E-07;4,51E-09;2,23E-11;3,41E-09;6,93E-07;7,68E-09;2,36E-09;3,00E-10;-2,94E-10;-3,85E-10;-6,84E-10;-3,34E-10;-6,27E-10;-6,11E-10;-5,26E-10;-5,34E-10;-5,51E-10;-6,03E-10;-4,87E-10;-5,95E-10;-5,04E-10;-5,59E-10;-5,87E-10;-5,67E-10;-6,42E-10;-4,06E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1,19E-09;9,72E-09;1,19E-09;-2,09E-10;-2,88E-10;-2,95E-10;-1,37E-10;-1,27E-10;-3,17E-10;-2,61E-10;-2,28E-10;4,10E-08;2,71E-09;2,08E-07;5,58E-09;6,18E-08;5,99E-09;1,96E-08;1,83E-09;8,19E-09;7,67E-10;3,48E-09;2,68E-10;-3,59E-10;-1,52E-10;-2,47E-10;6,68E-09;2,74E-06;1,98E-08;2,38E-09;4,89E-10;1,83E-08;1,71E-09;-4,88E-11;-1,87E-10;1,59E-10;-2,90E-10;-1,10E-10;5,60E-10;1,49E-07;4,87E-09;3,17E-10;3,86E-09;6,91E-07;8,42E-09;2,65E-09;5,48E-10;-1,07E-10;-8,91E-11;-2,40E-10;-4,34E-10;-2,86E-10;-3,48E-10;-4,04E-10;-3,41E-10;-1,85E-10;-2,64E-10;-3,41E-10;-4,48E-10;-4,15E-10;-4,98E-10;-2,58E-10;-3,26E-10;-2,91E-10;-2,45E-10;;;;;1,19E-09;9,72E-09;1,19E-09;-2,09E-10;-2,88E-10;-2,95E-10;-1,37E-10;-1,27E-10;-3,17E-10;-2,61E-10;-2,28E-10;4,10E-08;2,71E-09;2,08E-07;5,58E-09;6,18E-08;5,99E-09;1,96E-08;1,83E-09;8,19E-09;7,67E-10;3,48E-09;2,68E-10;-3,59E-10;-1,52E-10;-2,47E-10;6,68E-09;2,74E-06;1,98E-08;2,38E-09;4,89E-10;1,83E-08;1,71E-09;-4,88E-11;-1,87E-10;1,59E-10;-2,90E-10;-1,10E-10;5,60E-10;1,49E-07;4,87E-09;3,17E-10;3,86E-09;6,91E-07;8,42E-09;2,65E-09;5,48E-10;-1,07E-10;-8,91E-11;-2,40E-10;-4,34E-10;-2,86E-10;-3,48E-10;-4,04E-10;-3,41E-10;-1,85E-10;-2,64E-10;-3,41E-10;-4,48E-10;-4,15E-10;-4,98E-10;-2,58E-10;-3,26E-10;-2,91E-10;-2,45E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1,14E-09;1,01E-08;9,08E-10;-1,46E-10;-9,65E-11;-2,73E-10;-2,77E-10;-1,37E-10;-3,01E-10;-2,99E-10;-2,41E-10;4,18E-08;2,81E-09;2,05E-07;5,43E-09;6,26E-08;5,96E-09;2,06E-08;1,88E-09;7,92E-09;9,40E-10;3,61E-09;1,30E-10;2,65E-11;-3,05E-10;-1,40E-10;6,95E-09;2,75E-06;1,97E-08;2,49E-09;4,66E-10;1,81E-08;1,84E-09;1,38E-11;-1,37E-10;3,53E-10;-1,60E-10;-5,51E-11;6,19E-10;1,47E-07;4,79E-09;3,46E-10;3,61E-09;6,90E-07;8,14E-09;2,17E-09;5,42E-10;-2,76E-11;-5,83E-11;-2,21E-10;-2,86E-10;-1,56E-10;-1,25E-10;-3,88E-10;-1,26E-10;-4,26E-10;-3,14E-10;-1,04E-10;-1,50E-10;-1,76E-10;-2,55E-10;-1,05E-10;-2,23E-10;-1,40E-10;-2,66E-10;;;;;1,14E-09;1,01E-08;9,08E-10;-1,46E-10;-9,65E-11;-2,73E-10;-2,77E-10;-1,37E-10;-3,01E-10;-2,99E-10;-2,41E-10;4,18E-08;2,81E-09;2,05E-07;5,43E-09;6,26E-08;5,96E-09;2,06E-08;1,88E-09;7,92E-09;9,40E-10;3,61E-09;1,30E-10;2,65E-11;-3,05E-10;-1,40E-10;6,95E-09;2,75E-06;1,97E-08;2,49E-09;4,66E-10;1,81E-08;1,84E-09;1,38E-11;-1,37E-10;3,53E-10;-1,60E-10;-5,51E-11;6,19E-10;1,47E-07;4,79E-09;3,46E-10;3,61E-09;6,90E-07;8,14E-09;2,17E-09;5,42E-10;-2,76E-11;-5,83E-11;-2,21E-10;-2,86E-10;-1,56E-10;-1,25E-10;-3,88E-10;-1,26E-10;-4,26E-10;-3,14E-10;-1,04E-10;-1,50E-10;-1,76E-10;-2,55E-10;-1,05E-10;-2,23E-10;-1,40E-10;-2,66E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1,09E-09;9,68E-09;8,46E-10;-2,59E-10;-2,27E-10;-7,53E-11;-6,04E-11;-1,89E-10;-1,59E-10;-9,12E-11;-1,81E-10;4,11E-08;2,59E-09;2,08E-07;5,50E-09;6,23E-08;6,02E-09;2,01E-08;1,74E-09;8,01E-09;6,37E-10;3,68E-09;5,22E-10;-1,80E-10;-6,89E-11;-5,20E-11;7,30E-09;2,78E-06;1,99E-08;2,65E-09;7,50E-10;1,86E-08;1,72E-09;3,71E-11;-2,55E-11;4,94E-10;-1,19E-10;-6,36E-12;4,54E-10;1,47E-07;5,09E-09;3,38E-10;3,92E-09;6,93E-07;8,25E-09;2,54E-09;4,92E-10;1,31E-10;-5,30E-11;-7,42E-12;-1,82E-10;-1,22E-10;-1,77E-10;-2,83E-10;-2,73E-10;-1,68E-10;-2,55E-10;-2,12E-10;-1,72E-10;-2,84E-10;-2,09E-10;-2,92E-10;-3,59E-10;-2,29E-10;-1,73E-10;;;;;1,09E-09;9,68E-09;8,46E-10;-2,59E-10;-2,27E-10;-7,53E-11;-6,04E-11;-1,89E-10;-1,59E-10;-9,12E-11;-1,81E-10;4,11E-08;2,59E-09;2,08E-07;5,50E-09;6,23E-08;6,02E-09;2,01E-08;1,74E-09;8,01E-09;6,37E-10;3,68E-09;5,22E-10;-1,80E-10;-6,89E-11;-5,20E-11;7,30E-09;2,78E-06;1,99E-08;2,65E-09;7,50E-10;1,86E-08;1,72E-09;3,71E-11;-2,55E-11;4,94E-10;-1,19E-10;-6,36E-12;4,54E-10;1,47E-07;5,09E-09;3,38E-10;3,92E-09;6,93E-07;8,25E-09;2,54E-09;4,92E-10;1,31E-10;-5,30E-11;-7,42E-12;-1,82E-10;-1,22E-10;-1,77E-10;-2,83E-10;-2,73E-10;-1,68E-10;-2,55E-10;-2,12E-10;-1,72E-10;-2,84E-10;-2,09E-10;-2,92E-10;-3,59E-10;-2,29E-10;-1,73E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1,15E-09;9,77E-09;8,93E-10;9,65E-11;-1,21E-10;-8,80E-11;-2,33E-10;-2,43E-10;-5,41E-11;-5,83E-11;-1,69E-10;4,14E-08;2,80E-09;2,06E-07;5,70E-09;6,23E-08;5,93E-09;2,06E-08;1,74E-09;8,41E-09;8,29E-10;3,43E-09;2,05E-10;-2,50E-10;-7,42E-12;-1,12E-10;7,00E-09;2,76E-06;1,95E-08;2,80E-09;5,08E-10;1,87E-08;1,77E-09;2,97E-11;-1,59E-10;2,01E-10;-3,82E-11;-1,38E-10;3,96E-10;1,48E-07;5,03E-09;2,63E-10;3,87E-09;6,94E-07;8,32E-09;2,65E-09;4,54E-10;5,83E-11;-1,17E-10;-2,34E-10;-1,56E-10;-1,47E-10;-1,66E-10;-2,45E-10;-3,02E-10;-1,51E-10;-2,30E-10;-2,63E-10;-1,45E-10;-2,86E-11;5,30E-11;-3,34E-10;-1,46E-10;-2,38E-10;-1,50E-10;;;;;1,15E-09;9,77E-09;8,93E-10;9,65E-11;-1,21E-10;-8,80E-11;-2,33E-10;-2,43E-10;-5,41E-11;-5,83E-11;-1,69E-10;4,14E-08;2,80E-09;2,06E-07;5,70E-09;6,23E-08;5,93E-09;2,06E-08;1,74E-09;8,41E-09;8,29E-10;3,43E-09;2,05E-10;-2,50E-10;-7,42E-12;-1,12E-10;7,00E-09;2,76E-06;1,95E-08;2,80E-09;5,08E-10;1,87E-08;1,77E-09;2,97E-11;-1,59E-10;2,01E-10;-3,82E-11;-1,38E-10;3,96E-10;1,48E-07;5,03E-09;2,63E-10;3,87E-09;6,94E-07;8,32E-09;2,65E-09;4,54E-10;5,83E-11;-1,17E-10;-2,34E-10;-1,56E-10;-1,47E-10;-1,66E-10;-2,45E-10;-3,02E-10;-1,51E-10;-2,30E-10;-2,63E-10;-1,45E-10;-2,86E-11;5,30E-11;-3,34E-10;-1,46E-10;-2,38E-10;-1,50E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
