;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
0;8,9e-09;9,17e-08;4,4e-09;4,4e-10;1,72e-10;2,66e-10;1,4e-10;3,71e-11;1,02e-10;2,84e-10;3,02e-10;4,53e-09;9,98e-10;2,7e-09;4,99e-09;1,84e-08;1,09e-07;4,27e-07;6,21e-09;1,27e-09;7,33e-10;4,28e-10;2,45e-10;3,56e-10;3,53e-10;9,82e-10;1,41e-09;2,63e-08;2,38e-09;1,94e-09;4,02e-10;8,69e-09;1,29e-09;3,56e-10;2,74e-10;1,92e-10;2,31e-10;2,11e-10;5,57e-10;3,58e-10;6,44e-10;4,87e-10;1,14e-09;3,61e-08;2,76e-09;3,94e-10;2,57e-10;2,59e-10;1,81e-10;7,21e-11;1,61e-10;2,24e-10;1,23e-10;2,04e-10;2,66e-10;2,78e-10;5,25e-10;2,52e-10;1,1e-10;8,17e-11;3,05e-10;2,68e-10;2,84e-10;2,65e-10;1,79e-10
1;8,04e-09;8,07e-08;4,01e-09;1,72e-10;5,62e-11;-1,44e-10;-1,27e-10;-1,35e-10;-6,36e-11;-1,48e-10;-4,24e-11;3,15e-09;3,03e-10;1,69e-09;3,21e-09;1,6e-08;1,04e-07;4,03e-07;6,43e-09;1,04e-09;3,19e-10;2,84e-10;7,64e-11;-7,53e-11;3,5e-11;3,41e-10;6,47e-10;2,11e-08;1,89e-09;1,62e-09;2,2e-10;8,96e-09;8,09e-10;6,15e-11;-9,76e-11;1,27e-11;1,06e-10;1,06e-12;2,96e-10;2,12e-11;2,53e-10;1,9e-10;4,11e-10;2,89e-08;2,03e-09;4,56e-11;1,13e-10;1,44e-10;-3,08e-11;-1,08e-10;-3,39e-11;-6,47e-11;2,33e-11;-1,07e-10;1,33e-10;2,76e-11;2,24e-10;2,08e-10;7,42e-11;6,57e-11;7,42e-12;-5,94e-11;-2,12e-10;1,29e-10;2,26e-10
2;8,65e-09;7,53e-08;4,12e-09;4,1e-10;2,21e-10;9,54e-11;2,3e-10;1,66e-10;1,02e-10;4,03e-11;3,61e-11;2,85e-09;4,92e-10;1,38e-09;2,51e-09;1,52e-08;1,01e-07;3,92e-07;5,95e-09;1,14e-09;3,64e-10;3,56e-10;1,94e-10;1,66e-10;2,04e-10;4,01e-10;7,92e-10;1,89e-08;1,78e-09;1,33e-09;3,34e-10;9,35e-09;1,01e-09;1,36e-10;3,39e-11;9,97e-11;7,53e-11;1,24e-10;2,03e-10;1,48e-10;3,74e-10;3,2e-10;3,72e-10;2,59e-08;2,12e-09;1,27e-10;1,17e-11;1,1e-10;-3,08e-11;3,92e-11;7,32e-11;-5,3e-12;1,22e-10;1,01e-10;7,42e-11;3,82e-11;9,54e-11;1,18e-10;-1,7e-11;1,9e-10;-7,95e-11;6,47e-11;2,12e-11;1,8e-10;7,1e-11
3;8,22e-09;7,29e-08;3,74e-09;3,46e-10;1,2e-10;6,04e-11;-6,15e-11;2,61e-10;2,63e-10;1,16e-10;8,06e-11;2,51e-09;5,15e-10;1,24e-09;1,8e-09;1,45e-08;9,83e-08;3,78e-07;6,17e-09;1,1e-09;5,1e-10;3,03e-10;9,86e-11;3,08e-11;-6,36e-12;5,59e-10;7,29e-10;1,75e-08;1,73e-09;1,47e-09;3,29e-10;9,2e-09;1,33e-09;1,54e-10;1,43e-10;-3,5e-11;1,8e-11;-6,68e-11;2,12e-10;1,58e-10;3,04e-10;3,85e-10;4,77e-10;2,3e-08;2,15e-09;2,04e-10;9,44e-11;9,86e-11;3,5e-11;8,91e-11;3,39e-11;-6,47e-11;2,69e-10;1,16e-10;2,33e-11;8,38e-11;1,08e-10;2,86e-11;1,7e-11;8,27e-11;9,54e-11;2,01e-10;-5,3e-12;2,24e-10;-4,88e-11
4;7,16e-09;7,09e-08;4,01e-09;3,52e-10;1,19e-10;8,06e-11;1,66e-10;2,69e-10;7,85e-11;1,91e-11;1,02e-10;2,32e-09;4,45e-10;1,1e-09;1,59e-09;1,39e-08;9,52e-08;3,73e-07;6,16e-09;1,12e-09;5,21e-10;3,64e-10;8,48e-11;2,45e-10;2,26e-10;4,5e-10;3,68e-10;1,58e-08;1,67e-09;1,42e-09;2,32e-10;8,54e-09;1,01e-09;-8,48e-12;-5,94e-11;9,76e-11;5,62e-11;-1,17e-11;1,62e-10;1,03e-10;1,76e-10;1,33e-10;5,29e-10;2,1e-08;1,76e-09;2,81e-10;5,51e-11;3,18e-10;1,28e-10;3,29e-11;9,23e-11;7,95e-11;3,18e-12;1,77e-10;4,24e-11;1,82e-10;1,73e-10;4,88e-11;4,14e-11;5,51e-11;-4,56e-11;7,64e-11;-6,26e-11;-1,09e-10;2,13e-10
5;7,87e-09;6,77e-08;3,6e-09;3,46e-10;6,26e-11;3e-10;1,12e-10;2,8e-10;1,55e-10;1,37e-10;6,47e-11;2,33e-09;4,54e-10;1,15e-09;1,9e-09;1,36e-08;9,39e-08;3,69e-07;5,99e-09;1,07e-09;2,79e-10;4,1e-10;4,35e-10;2,27e-10;1,7e-11;5,96e-10;5,66e-10;1,56e-08;1,55e-09;1,36e-09;3,51e-10;8,92e-09;1,05e-09;3,02e-10;9,23e-11;-2,55e-11;1,1e-10;1,07e-10;1,74e-10;2,48e-10;3,49e-10;3,48e-10;4,18e-10;2,04e-08;1,88e-09;2,18e-10;2,65e-10;9,01e-11;1,25e-10;7,53e-11;8,7e-11;1,25e-10;1,39e-10;1,46e-10;9,12e-11;1,41e-10;3,04e-10;1,1e-10;1,43e-10;6,47e-11;2,23e-10;1,09e-10;8,8e-11;5,41e-11;1,11e-10
6;6,62e-09;6,63e-08;3,43e-09;2,93e-10;2,45e-10;1,64e-10;4,77e-11;1,01e-10;1,48e-10;-2,01e-11;6,57e-11;1,93e-09;3,28e-10;1,21e-09;1,52e-09;1,31e-08;9,26e-08;3,57e-07;6,17e-09;1,06e-09;4,62e-10;5,52e-10;1,78e-10;1,48e-10;1,21e-10;4,29e-10;2,65e-10;1,46e-08;1,65e-09;1,27e-09;3,14e-10;8,84e-09;9,72e-10;1,68e-10;6,79e-11;7e-11;1,69e-10;1,58e-10;8,8e-11;1,76e-10;2,29e-10;3,64e-10;3,99e-10;1,88e-08;1,99e-09;2,81e-10;1,23e-10;1,97e-10;2,5e-10;-6,57e-11;2,86e-11;3,5e-11;2,86e-11;-6,79e-11;9,76e-11;-1,05e-10;1,01e-10;6,68e-11;7,53e-11;1,74e-10;1,24e-10;1,35e-10;-4,56e-11;2,06e-10;1,85e-10
7;7,3e-09;6,56e-08;3,59e-09;3,33e-10;1,99e-10;1,38e-10;2,11e-10;1,58e-10;2,97e-11;5,83e-11;9,76e-11;2,28e-09;5,04e-10;9,96e-10;1,41e-09;1,29e-08;9,17e-08;3,56e-07;5,62e-09;1,01e-09;4,36e-10;3,14e-10;1,26e-10;1,27e-10;1,19e-10;3,29e-10;4,35e-10;1,42e-08;1,68e-09;1,32e-09;3,2e-10;9,16e-09;1,32e-09;1,74e-10;1,86e-10;3,82e-11;2,98e-10;1,62e-10;5,62e-11;1,38e-10;3,13e-10;9,76e-11;3,41e-10;1,83e-08;1,86e-09;3,11e-10;1,44e-10;1,19e-10;1,77e-10;2,44e-11;1,55e-10;9,12e-11;2,01e-10;7,53e-11;1,54e-10;3,4e-10;-4,24e-12;1,11e-10;4,77e-11;6,47e-11;2,14e-10;1,34e-10;1,47e-10;1,37e-10;1,05e-10
8;7,98e-09;6,26e-08;3,44e-09;2,39e-10;-4,77e-11;8,8e-11;-9,23e-11;4,14e-11;-4,24e-11;-8,59e-11;-5,73e-11;1,79e-09;2,88e-10;8,58e-10;9,97e-10;1,24e-08;8,98e-08;3,46e-07;5,95e-09;1,09e-09;4,16e-10;6,68e-11;-7,53e-11;-2,65e-11;-2,65e-11;-1,17e-11;4,15e-10;1,37e-08;1,18e-09;1,07e-09;1,07e-10;8,71e-09;9,93e-10;-1,62e-10;-1,56e-10;-1,53e-10;1,05e-10;-2,74e-10;1,33e-10;-1,16e-10;2,5e-10;1,57e-10;1,51e-10;1,75e-08;1,65e-09;7,1e-11;4,24e-11;7,32e-11;-1,04e-10;-1,44e-10;-3,92e-11;-2,76e-11;-7e-11;-1,9e-10;-9,86e-11;-4,56e-11;-1,35e-10;-1,68e-10;-2,35e-10;9,54e-12;-8,06e-11;-1,6e-10;-4,56e-11;8,17e-11;4,03e-11
9;8,45e-09;6,19e-08;3,3e-09;1,7e-10;4,14e-11;1,06e-11;3,29e-11;2,97e-11;1,06e-12;-1,94e-10;-1,5e-10;1,85e-09;1,48e-10;8,27e-10;1,1e-09;1,23e-08;8,93e-08;3,43e-07;5,92e-09;1,04e-09;3,31e-10;2,34e-10;1,17e-11;-4,45e-11;-5,3e-11;1,46e-10;3,63e-10;1,28e-08;1,21e-09;1,09e-09;1,34e-10;8,62e-09;9,65e-10;1,19e-10;4,14e-11;5,62e-11;-1,06e-10;1,59e-11;-4,14e-11;3,92e-11;2,8e-10;5,62e-11;1,13e-10;1,69e-08;1,57e-09;1,58e-10;-1,34e-10;1,06e-11;-4,77e-11;-8,59e-11;-1,66e-10;-4,88e-11;-9,76e-11;1,29e-10;-2,66e-10;-2,41e-10;-9,23e-11;-1,06e-12;-1,22e-10;-8,17e-11;8,06e-11;0,0;-9,33e-11;2,51e-10;-1,06e-10
