;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
0;7,80E-10;4,55E-09;8,62E-10;1,77E-10;2,28E-10;2,30E-10;1,89E-10;1,69E-10;1,73E-10;1,50E-10;2,80E-10;7,39E-10;2,01E-10;1,35E-09;3,76E-10;1,38E-08;8,87E-09;3,11E-08;2,49E-09;5,34E-10;2,64E-10;2,83E-10;2,00E-10;1,89E-10;3,03E-10;1,47E-10;2,21E-10;1,23E-08;1,28E-09;4,53E-10;5,10E-10;8,48E-08;4,05E-09;6,96E-10;7,48E-10;3,81E-10;2,90E-10;3,36E-10;1,92E-10;4,80E-10;3,28E-10;1,35E-10;2,82E-10;6,63E-09;1,01E-09;2,56E-10;-3,08E-11;1,35E-10;1,91E-10;3,50E-10;7,64E-11;8,38E-11;-1,06E-11;8,48E-11;3,12E-10;2,77E-10;3,15E-10;1,18E-10;2,49E-10;1,96E-10;1,60E-10;2,51E-10;2,97E-10;3,20E-10;4,22E-10
1;9,68E-10;4,69E-09;7,41E-10;2,16E-10;7,21E-11;2,24E-10;2,65E-11;2,69E-10;1,72E-10;1,96E-10;2,13E-10;6,83E-10;2,04E-10;8,61E-10;3,48E-10;9,13E-09;8,01E-09;2,96E-08;2,50E-09;3,99E-10;1,73E-10;3,15E-10;2,21E-10;3,00E-10;2,25E-10;3,31E-10;1,81E-10;7,86E-09;1,39E-09;6,50E-10;3,59E-10;5,20E-08;3,37E-09;4,52E-10;2,92E-10;2,92E-10;2,28E-10;3,15E-10;3,19E-10;4,93E-10;2,58E-10;4,72E-10;3,32E-10;6,07E-09;1,01E-09;3,55E-10;5,15E-10;3,47E-10;3,63E-10;1,07E-10;9,12E-11;-5,30E-11;8,06E-11;-2,01E-11;1,29E-10;2,07E-10;9,33E-11;9,97E-11;2,64E-10;3,28E-10;2,34E-10;1,37E-10;1,52E-10;2,05E-10;2,97E-11
2;7,16E-10;4,28E-09;6,90E-10;2,73E-10;2,08E-10;5,04E-10;2,28E-10;1,29E-10;3,05E-10;2,92E-10;3,55E-10;7,67E-10;1,80E-10;6,89E-10;3,73E-10;6,24E-09;7,57E-09;2,87E-08;2,31E-09;4,46E-10;2,95E-10;1,56E-10;1,12E-10;1,86E-10;3,36E-10;1,63E-10;1,63E-10;5,45E-09;8,98E-10;6,24E-10;2,90E-10;3,17E-08;2,74E-09;3,24E-10;2,74E-10;2,67E-10;2,11E-10;1,87E-10;1,93E-10;1,68E-10;2,23E-10;3,05E-10;2,04E-10;5,57E-09;8,59E-10;2,03E-10;9,33E-11;1,79E-10;1,66E-10;1,65E-10;2,26E-10;2,75E-10;2,23E-10;1,74E-10;3,43E-10;2,63E-10;3,92E-10;1,89E-10;1,98E-10;3,22E-10;8,80E-11;1,51E-10;3,01E-10;3,21E-10;2,91E-10
3;6,26E-10;4,30E-09;4,72E-10;1,05E-10;-7,00E-11;1,45E-10;-1,38E-11;-3,18E-12;-9,23E-11;-3,08E-11;4,14E-11;3,74E-10;2,23E-11;1,65E-10;4,24E-12;4,48E-09;7,08E-09;2,69E-08;2,15E-09;3,32E-10;3,61E-11;-1,91E-11;-2,31E-10;-1,13E-10;-8,59E-11;1,04E-10;1,06E-10;3,95E-09;3,78E-10;1,55E-10;4,03E-11;2,03E-08;1,76E-09;9,23E-11;1,18E-10;-1,35E-10;-9,97E-11;1,38E-10;6,47E-11;-8,06E-11;-3,61E-11;-3,08E-11;8,70E-11;4,89E-09;4,52E-10;-3,71E-11;-7,42E-11;2,65E-11;-3,29E-11;7,74E-11;-1,80E-11;-1,80E-11;1,28E-10;4,98E-11;-1,48E-10;1,06E-11;-1,65E-10;-7,00E-11;-1,75E-10;-2,12E-12;-1,17E-10;-2,58E-10;3,18E-11;-1,69E-10;-1,11E-10
4;6,12E-10;4,43E-09;6,89E-10;1,08E-10;3,64E-10;1,26E-10;1,58E-10;1,83E-10;1,80E-10;2,79E-10;2,09E-10;6,89E-10;1,47E-10;3,47E-10;2,31E-10;3,29E-09;7,19E-09;2,69E-08;2,37E-09;4,51E-10;1,77E-10;2,35E-10;1,98E-10;2,65E-10;4,06E-10;2,13E-10;2,20E-10;3,11E-09;3,91E-10;5,11E-10;3,10E-10;1,37E-08;1,46E-09;2,82E-10;3,49E-10;1,36E-10;1,76E-10;9,12E-11;2,20E-10;2,04E-10;2,12E-10;1,98E-10;2,07E-10;4,98E-09;7,75E-10;3,18E-10;2,61E-10;2,44E-10;1,33E-10;3,05E-10;7,95E-11;1,12E-10;2,09E-10;1,56E-10;1,90E-10;8,38E-11;1,05E-10;7,95E-11;1,33E-10;2,29E-10;2,03E-10;3,61E-11;1,69E-10;1,30E-10;2,07E-10
5;4,51E-10;4,20E-09;7,35E-10;2,22E-10;7,74E-11;1,68E-10;1,34E-10;1,11E-10;-1,36E-10;1,80E-11;-4,24E-12;3,84E-10;1,39E-10;2,08E-10;2,06E-10;2,48E-09;6,79E-09;2,61E-08;2,08E-09;1,66E-10;4,45E-11;1,30E-10;4,98E-11;2,12E-12;1,12E-10;7,42E-11;7,32E-11;2,50E-09;3,02E-10;1,38E-10;1,73E-10;9,57E-09;9,36E-10;-2,23E-11;-9,65E-11;-8,91E-11;5,30E-12;-1,22E-10;-2,12E-11;4,77E-11;5,94E-11;-1,60E-10;9,33E-11;4,52E-09;4,68E-10;4,24E-12;7,74E-11;-1,58E-10;-2,01E-11;-4,88E-11;-7,32E-11;9,44E-11;-4,45E-11;2,86E-11;1,30E-10;8,27E-11;7,42E-11;-7,53E-11;9,86E-11;2,06E-10;7,00E-11;1,11E-10;-3,18E-11;3,92E-11;5,30E-11
6;3,21E-10;4,13E-09;7,37E-10;2,38E-10;1,59E-11;5,51E-11;-3,39E-11;2,05E-10;1,31E-10;1,25E-10;4,77E-11;4,71E-10;9,54E-11;-1,06E-12;9,65E-11;1,97E-09;6,78E-09;2,52E-08;2,22E-09;2,50E-10;7,21E-11;-4,77E-11;-7,64E-11;-5,62E-11;-1,09E-10;-1,64E-10;-1,59E-11;2,16E-09;3,27E-10;3,02E-10;1,91E-11;6,94E-09;6,84E-10;2,32E-10;1,22E-10;0;9,65E-11;6,47E-11;-5,30E-11;-6,68E-11;3,39E-10;1,59E-11;-8,48E-11;4,51E-09;6,95E-10;7,32E-11;1,12E-10;2,86E-11;-4,98E-11;-2,76E-11;1,09E-10;5,09E-11;1,16E-10;-7,53E-11;5,20E-11;-4,03E-11;1,80E-11;-6,57E-11;2,01E-11;9,54E-12;6,47E-11;1,40E-10;-8,48E-11;1,39E-10;9,97E-11
7;6,56E-10;4,45E-09;7,13E-10;1,42E-10;1,02E-10;1,91E-10;2,83E-10;9,44E-11;3,02E-10;1,62E-10;2,06E-10;5,64E-10;1,95E-10;4,39E-10;1,90E-10;1,92E-09;6,75E-09;2,49E-08;2,44E-09;3,43E-10;1,30E-10;2,93E-10;1,74E-10;2,11E-10;2,68E-10;1,31E-10;3,33E-10;2,34E-09;5,28E-10;3,75E-10;3,06E-10;5,78E-09;8,36E-10;5,62E-11;1,31E-10;1,98E-10;2,23E-10;9,97E-11;1,51E-10;1,53E-10;1,06E-10;4,14E-11;1,80E-11;4,36E-09;6,83E-10;3,71E-11;1,33E-10;1,11E-10;2,21E-10;9,76E-11;2,90E-10;2,64E-10;2,69E-10;2,81E-10;1,11E-10;1,21E-10;2,47E-10;2,13E-10;9,76E-11;1,86E-10;2,17E-10;1,51E-10;1,09E-10;2,28E-10;9,33E-11
8;8,01E-10;4,12E-09;4,15E-10;2,63E-10;9,44E-11;4,14E-11;1,81E-10;2,12E-10;1,17E-11;8,27E-11;9,65E-11;4,80E-10;2,34E-10;1,18E-10;1,04E-10;1,86E-09;6,38E-09;2,46E-08;1,93E-09;2,14E-10;1,83E-10;8,80E-11;5,30E-12;6,89E-11;1,55E-10;1,35E-10;1,97E-10;1,90E-09;4,60E-10;2,93E-10;2,12E-11;5,05E-09;7,33E-10;1,13E-10;-3,18E-11;1,35E-10;8,27E-11;-4,14E-11;-2,97E-11;7,95E-11;9,54E-11;-1,17E-11;1,34E-10;4,04E-09;5,06E-10;4,56E-11;-7,74E-11;-1,17E-11;-1,70E-11;-1,57E-10;2,12E-12;1,48E-11;-1,23E-10;-2,65E-11;-2,55E-11;6,15E-11;-4,14E-11;-1,48E-11;7,42E-11;2,97E-11;-4,14E-11;-3,61E-11;-7,42E-12;9,86E-11;3,92E-11
9;9,55E-10;4,31E-09;8,87E-10;2,70E-10;3,84E-10;3,74E-10;3,27E-10;2,80E-10;3,12E-10;2,29E-10;3,39E-10;6,82E-10;4,49E-10;5,19E-10;2,68E-10;2,09E-09;6,48E-09;2,45E-08;2,29E-09;3,86E-10;1,96E-10;2,45E-10;2,20E-10;1,13E-10;2,03E-10;3,23E-10;1,90E-10;2,13E-09;5,38E-10;5,75E-10;3,33E-10;4,55E-09;8,55E-10;3,11E-10;3,79E-10;2,94E-10;3,89E-10;3,06E-10;2,22E-10;3,50E-10;2,09E-10;2,43E-10;4,07E-10;4,01E-09;5,85E-10;2,13E-10;2,47E-10;4,10E-10;3,03E-10;1,07E-10;2,29E-10;4,38E-10;2,13E-10;2,59E-10;3,70E-10;2,23E-10;2,28E-10;2,29E-10;3,13E-10;2,63E-10;2,10E-10;2,24E-10;2,70E-10;4,28E-10;3,44E-10
